observatory,country,altitude_m,mpc_code,fetch_date,fetch_time,cloud_cover_pct,humidity_pct,wind_speed_ms,temperature_c,observation_score,condition
7  Asheville,Unknown,0,H70,2026-04-22,22:10 UTC,0.0,16.0,3.96,24.9,100.0,Excellent
"4  Jornada Observatory, Las Cruces",Unknown,0,715,2026-04-22,22:10 UTC,0.0,9.0,8.0,29.9,100.0,Excellent
6  La Plata,Unknown,0,839,2026-04-22,22:10 UTC,0.0,83.0,1.3,16.3,100.0,Excellent
1  Complejo Astronomico El Leoncito,Unknown,0,829,2026-04-22,22:10 UTC,0.0,12.0,2.24,20.2,100.0,Excellent
3  Viña del Mar,Unknown,0,812,2026-04-22,22:10 UTC,0.0,71.0,8.77,16.3,100.0,Excellent
8  Santiago-Cerro Calán,Unknown,0,806,2026-04-22,22:10 UTC,0.0,52.0,2.1,16.5,100.0,Excellent
7  Mamalluca Observatory,Unknown,0,I04,2026-04-22,22:10 UTC,0.0,46.0,1.48,12.8,100.0,Excellent
2  Sidoli,Unknown,0,I35,2026-04-22,22:10 UTC,0.0,68.0,0.71,17.6,100.0,Excellent
4  Rivalta,Unknown,0,208,2026-04-22,22:10 UTC,0.0,72.0,2.1,7.4,100.0,Excellent
"8  Observatorio El Catalejo, Santa Rosa",Unknown,0,I48,2026-04-22,22:10 UTC,0.0,58.0,1.17,15.9,100.0,Excellent
1  Crowborough,Unknown,0,001,2026-04-22,22:10 UTC,0.0,77.0,2.8,7.5,100.0,Excellent
"8  Volkssternwarte Dhaun, near Kirn",Unknown,0,515,2026-04-22,22:10 UTC,0.0,58.0,3.3,8.6,100.0,Excellent
5  Guadarrama Observatory,Unknown,0,458,2026-04-22,22:10 UTC,0.0,60.0,1.2,14.6,100.0,Excellent
"4  Engelhardt Observatory, Dresden",Unknown,0,601,2026-04-22,22:10 UTC,0.0,58.0,2.5,6.1,100.0,Excellent
9  Weinheim,Unknown,0,A23,2026-04-22,22:10 UTC,0.0,41.0,1.24,11.5,100.0,Excellent
2  Savigny-le-Temple,Unknown,0,B00,2026-04-22,22:10 UTC,0.0,48.0,2.79,10.4,100.0,Excellent
5  Helwan,Unknown,0,087,2026-04-22,22:10 UTC,0.0,43.0,3.01,19.9,100.0,Excellent
"4  iTelescope Observatory, Nerpio",Unknown,0,I89,2026-04-22,22:10 UTC,0.0,58.0,1.87,15.8,100.0,Excellent
8  Ray Observatory,Unknown,0,362,2026-04-22,22:10 UTC,0.0,77.0,2.64,6.4,100.0,Excellent
4  Auckland Observatory,Unknown,0,467,2026-04-22,22:10 UTC,0.0,69.0,3.64,12.7,100.0,Excellent
1  Brooklyn Park,Unknown,0,D87,2026-04-22,22:10 UTC,0.0,59.0,3.11,18.9,100.0,Excellent
"9  Xingming Observatory, Mt. Nanshan",Unknown,0,C42,2026-04-22,22:10 UTC,0.0,56.0,1.89,5.2,100.0,Excellent
1  Melbourne,Unknown,0,907,2026-04-22,22:10 UTC,0.0,76.0,2.12,12.4,100.0,Excellent
"2  Frog Rock Observatory, Mudgee",Unknown,0,E11,2026-04-22,22:10 UTC,0.0,66.0,3.64,11.9,100.0,Excellent
"2  iTelescope SRO Observatory, Auberry",Unknown,0,U69,2026-04-22,22:10 UTC,1.0,53.0,4.33,15.6,99.5,Excellent
"3  Obs. Astronomico Plomer, Buenos Aires",Unknown,0,443,2026-04-22,22:10 UTC,3.0,72.0,0.7,16.9,98.5,Excellent
"2  Tenagra II Observatory, Nogales",Unknown,0,926,2026-04-22,22:10 UTC,5.0,10.0,6.96,26.6,97.5,Excellent
8  Kingsgrove,Unknown,0,E19,2026-04-22,22:10 UTC,6.0,76.0,0.51,14.0,97.0,Excellent
"9  Antelope Hills Observatory, Bennett",Unknown,0,H09,2026-04-22,22:10 UTC,8.0,5.0,9.17,26.1,96.0,Excellent
"9  Brynllefrith Observatory, Llantwit Fardre",Unknown,0,J58,2026-04-22,22:10 UTC,16.0,53.0,6.8,11.5,92.0,Excellent
9  Loomberah,Unknown,0,422,2026-04-22,22:10 UTC,22.0,72.0,1.22,13.2,89.0,Excellent
1  Kitami,Unknown,0,400,2026-04-22,22:10 UTC,25.0,60.0,1.08,3.7,87.5,Excellent
3  Conway,Unknown,0,H43,2026-04-22,22:10 UTC,26.0,56.0,3.62,24.7,87.0,Excellent
Ordubad,Unknown,0,129,2026-04-22,22:10 UTC,28.0,65.0,2.46,9.6,86.0,Excellent
"9  U. of Minn. Infrared Obs., Mt. Lemmon",Unknown,0,686,2026-04-22,22:10 UTC,33.0,11.0,7.12,30.5,83.5,Excellent
5  Toronto,Unknown,0,777,2026-04-22,22:10 UTC,25.0,90.0,1.89,3.9,77.5,Good
0  Tucson-Winterhaven,Unknown,0,G86,2026-04-22,22:10 UTC,45.0,9.0,6.48,30.9,77.5,Good
"0  CAO, San Pedro de Atacama (until 2012)",Unknown,0,I10,2026-04-22,22:10 UTC,47.0,13.0,1.81,21.3,76.5,Good
8  Tortona,Unknown,0,A61,2026-04-22,22:10 UTC,48.0,79.0,0.63,9.1,76.0,Good
2  Armilla,Unknown,0,I53,2026-04-22,22:10 UTC,48.0,58.0,1.57,15.7,76.0,Good
Observatory of the State University of Missouri,Unknown,0,738,2026-04-22,22:10 UTC,50.0,71.0,2.42,21.0,75.0,Good
5  Monte Agliale,Unknown,0,159,2026-04-22,22:10 UTC,50.0,50.0,2.66,10.6,75.0,Good
6  Siding Spring Observatory-DSS,Unknown,0,260,2026-04-22,22:10 UTC,51.0,58.0,6.56,15.8,74.5,Good
1  GOTO South,Unknown,0,E55,2026-04-22,22:10 UTC,51.0,58.0,6.56,15.9,74.5,Good
"8  Kenting Observatory, Hengchun",Unknown,0,D34,2026-04-22,22:10 UTC,52.0,81.0,7.92,26.7,74.0,Good
"8  Kingsnake Observatory, Seguin",Unknown,0,446,2026-04-22,22:10 UTC,54.0,77.0,3.47,26.7,73.0,Good
3  Los Altos de Arguineguin Observatory,Unknown,0,J55,2026-04-22,22:10 UTC,54.0,78.0,2.06,18.8,73.0,Good
"Tsingtao field station, Xisha Islands",Unknown,0,312,2026-04-22,22:10 UTC,55.0,81.0,7.31,27.6,72.5,Good
