observatory,country,altitude_m,mpc_code,fetch_date,fetch_time,cloud_cover_pct,humidity_pct,wind_speed_ms,temperature_c,observation_score,condition
1  Kihei-AMOS Remote Maui Experimental Site,Unknown,0,625,2026-04-22,22:10 UTC,57.0,56.0,1.56,29.0,71.5,Good
6  Haleakala-NEAT/GEODSS,Unknown,0,566,2026-04-22,22:10 UTC,57.0,56.0,1.56,29.1,71.5,Good
6  Haleakala-AMOS,Unknown,0,608,2026-04-22,22:10 UTC,57.0,56.0,1.56,29.1,71.5,Good
7  Younchun,Unknown,0,343,2026-04-22,22:10 UTC,58.0,59.0,2.06,6.2,71.0,Good
9  Fujieda,Unknown,0,898,2026-04-22,22:10 UTC,60.0,84.0,2.55,15.4,70.0,Good
"8  Plateau Observatory for Dome A, Kunlun Station",Unknown,0,N43,2026-04-22,22:10 UTC,60.0,65.0,5.04,-56.3,70.0,Good
2  Hawker,Unknown,0,429,2026-04-22,22:10 UTC,54.0,87.0,1.43,8.0,69.0,Good
"4  CEAMIG-REA Observatory, Belo Horizonte",Unknown,0,I77,2026-04-22,22:10 UTC,63.0,67.0,0.71,23.7,68.5,Good
2  Zlin Observatory,Unknown,0,B41,2026-04-22,22:10 UTC,65.0,63.0,0.36,5.2,67.5,Good
"0  Pleiade Observatory, Verona",Unknown,0,112,2026-04-22,22:10 UTC,67.0,78.0,1.28,9.3,66.5,Good
4  Kiyose and Mizuho,Unknown,0,409,2026-04-22,22:10 UTC,71.0,84.0,0.63,12.0,64.5,Good
"3  Perth Observatory, Bickley",Unknown,0,323,2026-04-22,22:10 UTC,74.0,76.0,1.73,13.7,63.0,Good
4  Utsunomiya,Unknown,0,390,2026-04-22,22:10 UTC,74.0,67.0,1.41,10.9,63.0,Good
5  Maunakea,Unknown,0,568,2026-04-22,22:10 UTC,75.0,53.0,1.58,17.0,62.5,Good
"3  Observatorio Lledoner, Vallirana",Unknown,0,K08,2026-04-22,22:10 UTC,76.0,80.0,8.19,16.6,62.0,Good
0  Nakagawa,Unknown,0,D74,2026-04-22,22:10 UTC,80.0,85.0,4.93,14.7,60.0,Good
9  Nishi Kobe,Unknown,0,353,2026-04-22,22:10 UTC,81.0,74.0,7.36,14.8,59.5,Marginal
4  Lomnický Štít,Unknown,0,059,2026-04-22,22:10 UTC,85.0,69.0,2.8,2.1,57.5,Marginal
"9  Emmy Observatory, New Paltz",Unknown,0,865,2026-04-22,22:10 UTC,86.0,70.0,2.33,10.7,57.0,Marginal
"2  Observatorio Buenaventura Suarez, San Luis",Unknown,0,G43,2026-04-22,22:10 UTC,88.0,68.0,1.92,17.3,56.0,Marginal
2  Cedar Knolls,Unknown,0,H94,2026-04-22,22:10 UTC,89.0,74.0,2.47,12.7,55.5,Marginal
2  Ishiki,Unknown,0,380,2026-04-22,22:10 UTC,88.0,86.0,2.11,15.3,54.0,Marginal
1  Observatorio Geminis Austral,Unknown,0,I30,2026-04-22,22:10 UTC,93.0,70.0,1.49,17.4,53.5,Marginal
"0  Magroforte Observatory, Alessandria",Unknown,0,G15,2026-04-22,22:10 UTC,93.0,65.0,2.14,5.0,53.5,Marginal
7  Gekko,Unknown,0,888,2026-04-22,22:10 UTC,89.0,86.0,1.2,14.8,53.5,Marginal
1  Tokyo-Okayama,Unknown,0,371,2026-04-22,22:10 UTC,86.0,87.0,8.91,12.2,53.0,Marginal
0  Nashville,Unknown,0,759,2026-04-22,22:10 UTC,97.0,29.0,4.85,26.2,51.5,Marginal
9  Kagiya,Unknown,0,878,2026-04-22,22:10 UTC,97.0,83.0,2.2,14.7,51.5,Marginal
"4  Drum Hill Station, Chelmsford",Unknown,0,835,2026-04-22,22:10 UTC,100.0,78.0,2.6,7.3,50.0,Marginal
"1  Sunriver Nature Center Observatory, Sunriver",Unknown,0,G62,2026-04-22,22:10 UTC,100.0,67.0,6.71,5.5,50.0,Marginal
"2  Yale Observatory, Bethany",Unknown,0,798,2026-04-22,22:10 UTC,100.0,76.0,3.31,8.6,50.0,Marginal
Northwood Ridge Observatory,Unknown,0,225,2026-04-22,22:10 UTC,100.0,70.0,3.52,7.7,50.0,Marginal
Manastash Ridge Observatory,Unknown,0,664,2026-04-22,22:10 UTC,100.0,60.0,12.14,12.2,50.0,Marginal
7  Barão Geraldo,Unknown,0,861,2026-04-22,22:10 UTC,100.0,59.0,1.12,22.9,50.0,Marginal
4  Chorzów,Unknown,0,553,2026-04-22,22:10 UTC,100.0,49.0,2.9,8.7,50.0,Marginal
9  Linhaceira,Unknown,0,938,2026-04-22,22:10 UTC,100.0,73.0,2.42,13.9,50.0,Marginal
0  Lancaster,Unknown,0,980,2026-04-22,22:10 UTC,100.0,76.0,7.8,6.8,50.0,Marginal
"4  Alphard Observatory, Ostuni",Unknown,0,K82,2026-04-22,22:10 UTC,100.0,80.0,3.28,11.5,50.0,Marginal
4  Alma-Ata,Unknown,0,210,2026-04-22,22:10 UTC,100.0,73.0,1.75,1.3,50.0,Marginal
6  Palermo,Unknown,0,535,2026-04-22,22:10 UTC,99.0,86.0,0.61,11.9,48.5,Marginal
2  Saji Observatory,Unknown,0,867,2026-04-22,22:10 UTC,81.0,91.0,2.22,5.9,47.5,Marginal
University of the Andes station,Unknown,0,302,2026-04-22,22:10 UTC,100.0,90.0,2.01,17.9,40.0,Marginal
"4  Ka-Dar Observatory, TAU Station, Nizhny Arkhyz",Unknown,0,C32,2026-04-22,22:10 UTC,100.0,90.0,5.65,-4.9,40.0,Marginal
6  Pieta,Unknown,0,A40,2026-04-22,22:10 UTC,100.0,93.0,7.88,17.8,34.0,Poor
"1  Harvard Observatory, Arequipa",Unknown,0,800,2026-04-22,22:10 UTC,100.0,95.0,2.27,8.9,30.0,Poor
3  Gauteng,Unknown,0,L24,2026-04-22,22:10 UTC,100.0,97.0,1.56,15.2,26.0,Poor
8  Algiers-Bouzaréah,Unknown,0,008,2026-04-22,22:10 UTC,91.0,100.0,1.98,16.6,24.5,Poor
